Id,SalePrice
1461,140181.43296965404
1462,159438.20290782038
1463,188528.43829955594
1464,180978.30658192784
1465,204364.8384753549
1466,187659.9056200379
1467,190966.6171371886
1468,182047.31439795007
1469,199864.94777652208
1470,137852.47698645332
1471,210463.1982554596
1472,106494.78891194842
1473,108915.50820211461
1474,155682.00805074646
1475,140915.08309422157
1476,317238.02892555244
1477,239557.01175978463
1478,267379.81915718084
1479,264231.7028776903
1480,326235.541310963
1481,277338.09761456447
1482,216948.10750888393
1483,189519.98566461838
1484,185134.13797438043
1485,165741.14597280853
1486,191581.50374731465
1487,284711.3227572002
1488,235596.00752340723
1489,210468.50157199556
1490,205030.51440297265
1491,191139.39579094428
1492,116024.23356650036
1493,199971.47910471057
1494,254935.1229209396
1495,251882.23791937903
1496,220333.96714442593
1497,204036.4706930085
1498,170860.36493042097
1499,171312.57294117537
1500,170060.37524744577
1501,178762.4839822579
1502,165285.81723256983
1503,246023.30561514903
1504,221692.54208719428
1505,218471.9466630012
1506,213463.09564212398
1507,231981.34751115623
1508,199454.22387406806
1509,171634.27408313425
1510,169101.34354800207
1511,167407.8617441176
1512,173858.85601727484
1513,157423.03922467065
1514,188884.026267591
1515,226629.88429747755
1516,163434.04239712062
1517,157047.96349737086
1518,186359.65061583917
1519,213497.89093890053
1520,147110.96076836257
1521,152073.4331162878
1522,191507.1011752965
1523,122010.72821584309
1524,119843.64321733173
1525,129616.17681963962
1526,128616.35454966685
1527,127376.10259759944
1528,142642.90595831297
1529,161356.0485013955
1530,209100.7682340194
1531,118357.59156518866
1532,103679.52901919092
1533,159231.21691599023
1534,119610.53661618398
1535,145681.42706461577
1536,123539.00606934394
1537,118555.91682474912
1538,162738.38845005108
1539,201147.22940593798
1540,142593.77108261373
1541,152655.27939689084
1542,150887.33324723662
1543,192902.9920551646
1544,89870.70784133648
1545,103402.1561289359
1546,137095.9189647464
1547,121619.57277961979
1548,131863.25102531095
1549,124552.17847729434
1550,141012.63303858618
1551,133221.1316393943
1552,144361.68937578384
1553,120550.52407816514
1554,116742.471461705
1555,173141.28884960318
1556,104386.89819609004
1557,132178.6244915167
1558,120153.31414781329
1559,106005.52360084328
1560,152316.2842595065
1561,179315.53454109642
1562,134821.84985892862
1563,124071.43131299305
1564,191937.79771968606
1565,154384.55543359532
1566,257311.95831458567
1567,107710.11543919999
1568,199893.87810270913
1569,133231.81893943687
1570,131328.10182590512
1571,134904.82484072476
1572,157113.8870775158
1573,232708.20726774668
1574,171598.61930286678
1575,225565.88564320112
1576,193243.98742979587
1577,196125.33597874697
1578,149548.86868737347
1579,168206.63525875413
1580,205735.80275146675
1581,150542.90771867664
1582,144152.81757025194
1583,280600.6570375215
1584,217720.20372249343
1585,146828.5187633891
1586,99390.55577168424
1587,105537.1317755588
1588,155644.3130955116
1589,107980.23807735421
1590,153444.5926356968
1591,110604.94608030832
1592,137854.12671587255
1593,138099.08823678864
1594,174058.69590310287
1595,126847.48712350988
1596,221008.7005929234
1597,197170.244247714
1598,178824.53274502646
1599,187976.97698572988
1600,199665.21836898618
1601,81671.95660576258
1602,125660.43528162185
1603,90981.61785038619
1604,252783.18176104582
1605,224239.30961280534
1606,172918.59409479855
1607,219626.83146686258
1608,199148.6359208172
1609,200036.2411803904
1610,171067.07645552693
1611,167079.09035943964
1612,184070.42189185726
1613,190009.39586398622
1614,125249.54943961141
1615,84196.09386249766
1616,79557.05947747466
1617,97254.2767844988
1618,137492.55061014905
1619,138943.16046914266
1620,203779.24019416652
1621,161246.45453382834
1622,155674.96550607984
1623,259850.71041372675
1624,194397.19408822228
1625,137634.21940270357
1626,194552.1293364256
1627,194749.18151537678
1628,240024.89455312036
1629,181444.82413337292
1630,294205.7960165557
1631,243170.47006937308
1632,244031.82409869693
